,id,popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,leading_actor,genre,director_name,production_company,release_month,profit,profit_adj
11,76757,6.189369,176000003,183987723,Jupiter Ascending,124,2015-02-04,1937,5.2,2015,161919931.51523,169268630.681802,Mila Kunis,Science Fiction,Lana Wachowski,Village Roadshow Pictures,February,7987720,7348699.166572005
12,264660,6.118847,15000000,36869414,Ex Machina,108,2015-01-21,2854,7.6,2015,13799993.9280026,33919845.9552677,Domhnall Gleeson,Drama,Alex Garland,DNA Films,January,21869414,20119852.027265098
13,257344,5.984995,88000000,243637091,Pixels,105,2015-07-16,1575,5.8,2015,80959964.3776156,224146025.095748,Adam Sandler,Action,Chris Columbus,Columbia Pictures,July,155637091,143186060.7181324
14,99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,141,2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177,Robert Downey Jr.,Action,Joss Whedon,Marvel Studios,April,1125035767,1035032450.2257209
15,273248,5.8984,44000000,155760117,The Hateful Eight,167,2015-12-25,2389,7.4,2015,40479982.1888078,143299244.588332,Samuel L. Jackson,Crime,Quentin Tarantino,Double Feature Films,December,111760117,102819262.3995242
16,260346,5.749758,48000000,325771424,Taken 3,109,2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785,Liam Neeson,Crime,Olivier Megaton,Twentieth Century Fox Film Corporation,January,277771424,255549597.6381765
17,102899,5.573184,130000000,518602163,Ant-Man,115,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936,Paul Rudd,Science Fiction,Peyton Reed,Marvel Studios,July,388602163,357513832.653913
18,150689,5.556818,95000000,542351353,Cinderella,112,2015-03-12,1495,6.8,2015,87399961.5440169,498963025.216268,Lily James,Romance,Kenneth Branagh,Walt Disney Pictures,March,447351353,411563063.6722511
19,131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,136,2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232,Jennifer Lawrence,War,Francis Lawrence,Studio Babelsberg,November,490523427,451281354.276204
20,158852,5.462138,190000000,209035668,Tomorrowland,130,2015-05-19,1899,6.2,2015,174799923.088033,192312729.942398,Britt Robertson,Action,Brad Bird,Walt Disney Pictures,May,19035668,17512806.85436502
21,307081,5.337064,30000000,91709827,Southpaw,123,2015-06-15,1386,7.3,2015,27599987.8560053,84373003.7158783,Jake Gyllenhaal,Action,Antoine Fuqua,Escape Artists,June,61709827,56773015.859873
22,254128,4.907832,110000000,470490832,San Andreas,114,2015-05-27,2060,6.1,2015,101199955.472019,432851374.985395,Dwayne Johnson,Action,Brad Peyton,New Line Cinema,May,360490832,331651419.513376
23,216015,4.71040199999999,40000000,569651467,Fifty Shades of Grey,125,2015-02-11,1865,5.3,2015,36799983.8080071,524079119.045187,Dakota Johnson,Drama,Sam Taylor-Johnson,Focus Features,February,529651467,487279135.2371799
24,318846,4.648046,28000000,133346506,The Big Short,130,2015-12-11,1545,7.3,2015,25759988.6656049,122678731.541358,Christian Bale,Comedy,Adam McKay,Paramount Pictures,December,105346506,96918742.87575309
25,177677,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,131,2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881,Tom Cruise,Action,Christopher McQuarrie,Paramount Pictures,July,532330139,489743512.39285505
26,214756,4.564549,68000000,215863606,Ted 2,115,2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845,Mark Wahlberg,Comedy,Seth MacFarlane,Universal Pictures,June,147863606,136034457.6648379
27,207703,4.503789,81000000,403802136,Kingsman: The Secret Service,130,2015-01-24,3833,7.6,2015,74519967.2112144,371497801.660967,Taron Egerton,Crime,Matthew Vaughn,Twentieth Century Fox Film Corporation,January,322802136,296977834.44975257
28,314365,4.062293,20000000,88346473,Spotlight,128,2015-11-06,1559,7.8,2015,18399991.9040035,81278719.3973634,Mark Ruffalo,Drama,Tom McCarthy,Participant Media,November,68346473,62878727.49335989
29,294254,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,132,2015-09-09,1849,6.4,2015,56119975.3072108,286356245.923251,Dylan O'Brien,Action,Wes Ball,Gotham Group,September,250256926,230236270.61604017
31,198184,3.899557,49000000,102069268,Chappie,120,2015-03-04,1990,6.6,2015,45079980.1648087,93903685.2423785,Sharlto Copley,Crime,Neill Blomkamp,Columbia Pictures,March,53069268,48823705.077569805
32,254470,3.877764,29000000,287506194,Pitch Perfect 2,115,2015-05-07,1264,6.8,2015,26679988.2608051,264505582.097543,Anna Kendrick,Comedy,Elizabeth Banks,Universal Pictures,May,258506194,237825593.8367379
33,296098,3.64821,40000000,162610473,Bridge of Spies,141,2015-10-15,1638,7.1,2015,36799983.8080071,149601569.335309,Tom Hanks,Thriller,Steven Spielberg,DreamWorks SKG,October,122610473,112801585.52730191
34,257445,3.644541,58000000,150170815,Goosebumps,103,2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088,Jack Black,Adventure,Rob Letterman,Columbia Pictures,August,92170815,84797112.4892697
35,264644,3.557846,6000000,35401758,Room,117,2015-10-16,1520,8.0,2015,5519997.57120106,32569603.0293746,Brie Larson,Drama,Lenny Abrahamson,Element Pictures,October,29401758,27049605.45817354
37,105864,3.339135,175000000,331926147,The Good Dinosaur,93,2015-11-14,1087,6.6,2015,160999929.160031,305371920.876354,Raymond Ochoa,Adventure,Peter Sohn,Walt Disney Pictures,November,156926147,144371991.716323
38,241554,3.23737,50000000,71561644,Run All Night,114,2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592,Liam Neeson,Action,Jaume Collet-Serra,Vertigo Entertainment,March,21561644,19836703.7518503
39,167073,3.227329,11000000,62076141,Brooklyn,111,2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891,Saoirse Ronan,Drama,John Crowley,Wildgaze Films,November,51076141,46990029.0443872
40,277216,3.202719,28000000,201634991,Straight Outta Compton,147,2015-08-13,918,7.7,2015,25759988.6656049,185504110.098191,O'Shea Jackson Jr.,Drama,F. Gary Gray,New Line Cinema,August,173634991,159744121.4325861
41,274854,3.080505,90000000,140396650,The Last Witch Hunter,106,2015-10-21,879,5.6,2015,82799963.568016,129164861.167461,Vin Diesel,Fantasy,Breck Eisner,Summit Entertainment,October,50396650,46364897.599445
42,321697,3.079522,30000000,34441873,Steve Jobs,122,2015-10-09,1035,6.9,2015,27599987.8560053,31686509.2179359,Michael Fassbender,History,Danny Boyle,Universal Pictures,October,4441873,4086521.3619306013
43,203801,3.053421,75000000,108145109,The Man from U.N.C.L.E.,116,2015-08-13,1548,7.0,2015,68999969.6400133,99493456.5028791,Henry Cavill,Comedy,Guy Ritchie,Davis Entertainment,August,33145109,30493486.86286579
44,293863,3.025852,25000000,42629776,The Age of Adaline,112,2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742,Blake Lively,Fantasy,Lee Toland Krieger,Lakeshore Entertainment,April,17629776,16219386.783469804
45,325348,3.023253,10000000,14333790,Hardcore Henry,97,2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843,Sharlto Copley,Action,Ilya Naishuller,Bazelevs Production,September,4333790,3987085.0456825197
46,228161,2.976436,135000000,368871007,Home,94,2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082,Jim Parsons,Fantasy,Tim Johnson,Twentieth Century Fox Film Corporation,March,233871007,215161231.769058
47,286565,2.968254,12000000,85512300,Paper Towns,109,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.3846362,Nat Wolff,Drama,Jake Schreier,Fox 2000 Pictures,July,73512300,67631286.2422341
49,254320,2.885126,4000000,9064511,The Lobster,118,2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756,Colin Farrell,Thriller,Yorgos Lanthimos,Haut et Court,October,5064511,4659348.06988685
50,258480,2.883233,11800000,40272135,Carol,118,2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469,Cate Blanchett,Romance,Todd Haynes,Killer Films,November,28472135,26194352.6744848
51,257211,2.814802,35000000,194564672,The Intern,121,2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255,Robert De Niro,Comedy,Nancy Meyers,Waverly Films,September,159564672,146799433.6482488
52,253412,2.798017,55000000,203427584,Everest,121,2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255,Jason Clarke,Adventure,Baltasar KormÃ¡kur,Universal Pictures,September,148427584,136553317.1965402
53,274479,2.793297,60000000,101134059,Joy,124,2015-12-24,1001,6.4,2015,55199975.7120106,93043293.3409509,Jennifer Lawrence,Comedy,David O. Russell,Fox 2000 Pictures,December,41134059,37843317.62894031
54,257088,2.614499,105000000,133718711,Point Break,114,2015-12-03,505,5.5,2015,96599957.4960187,123021159.990689,Edgar RamÃ­rez,Action,Ericson Core,Studio Babelsberg,December,28718711,26421202.4946703
55,295964,2.584264,20000000,36606743,Burnt,100,2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969,Bradley Cooper,Drama,John Wells,Double Feature Films,October,16606743,15278196.837593399
56,238615,2.578919,26000000,30523226,Self/less,116,2015-07-10,719,6.2,2015,23919989.4752046,28081355.5642035,Ryan Reynolds,Science Fiction,Tarsem Singh,Endgame Entertainment,July,4523226,4161366.0889989026
57,210860,2.575711,60000000,30418560,Mortdecai,106,2015-01-21,696,5.3,2015,55199975.7120106,27985062.8865723,Johnny Depp,Comedy,David Koepp,Lionsgate,January,-29581440,-27214912.8254383
58,306819,2.557859,15000000,64191523,The Danish Girl,120,2015-11-27,867,7.3,2015,13799993.9280026,59056175.1752829,Eddie Redmayne,Drama,Tom Hooper,Pretty Pictures,November,49191523,45256181.2472803
59,201088,2.550747,70000000,17752940,Blackhat,133,2015-01-13,584,5.0,2015,64399971.6640124,16332697.613613,Chris Hemsworth,Mystery,Michael Mann,Universal Pictures,January,-52247060,-48067274.0503994
60,273481,2.487849,30000000,84025816,Sicario,121,2015-09-17,1479,7.1,2015,27599987.8560053,77303716.7063646,Emily Blunt,Action,Denis Villeneuve,Lionsgate,September,54025816,49703728.850359306
61,166424,2.487042,120000001,167977596,Fantastic Four,100,2015-08-05,1565,4.4,2015,110399952.34402,154539320.322699,Miles Teller,Action,Josh Trank,Twentieth Century Fox Film Corporation,August,47977595,44139367.978679016
62,310131,2.46449,3500000,40423945,The Witch,92,2015-03-24,700,5.8,2015,3219998.58320062,37190013.0363942,Anya Taylor-Joy,Mystery,Robert Eggers,Parts and Labor,March,36923945,33970014.45319358
63,238713,2.404473,65000000,235666219,Spy,120,2015-05-06,1840,6.9,2015,59799973.6880115,216812826.082356,Melissa McCarthy,Action,Paul Feig,Twentieth Century Fox Film Corporation,May,170666219,157012852.3943445
64,256591,2.395366,50100000,153962963,Focus,105,2015-02-25,1831,6.7,2015,46091979.7195289,141645863.63582,Will Smith,Romance,Glenn Ficarra,Kramer & Sigman Films,February,103862963,95553883.9162911
65,249070,2.354654,35000000,82347656,Hitman: Agent 47,96,2015-08-20,820,5.5,2015,32199985.8320062,75759810.1856835,Rupert Friend,Action,Aleksander Bach,Twentieth Century Fox Film Corporation,August,47347656,43559824.3536773
66,205775,2.345821,100000000,93820758,In the Heart of the Sea,122,2015-11-20,805,6.4,2015,91999959.5200178,86315059.3813738,Chris Hemsworth,Thriller,Ron Howard,Imagine Entertainment,November,-6179242,-5684900.13864401
68,312221,2.331567,35000000,137935567,Creed,133,2015-11-25,1171,7.3,2015,32199985.8320062,126900665.803707,Michael B. Jordan,Drama,Ryan Coogler,New Line Cinema,November,102935567,94700679.9717008
69,271718,2.31767,35000000,140795793,Trainwreck,125,2015-07-17,849,6.1,2015,32199985.8320062,129532072.565888,Amy Schumer,Comedy,Judd Apatow,Universal Pictures,July,105795793,97332086.7338818
70,333352,2.29573,13000000,32848185,Eye in the Sky,102,2015-09-11,265,7.2,2015,11959994.7376023,30220316.9030605,Helen Mirren,Drama,Gavin Hood,Entertainment One,September,19848185,18260322.165458202
71,276907,2.28135,25000000,42972994,Legend,131,2015-09-09,619,6.7,2015,22999989.8800044,39535137.0845396,Tom Hardy,Crime,Brian Helgeland,Working Title Films,September,17972994,16535147.204535201
73,266647,2.234573,150000000,128388320,Pan,111,2015-09-24,586,5.9,2015,137999939.280026,118117202.42843,Levi Miller,Adventure,Joe Wright,Warner Bros.,September,-21611680,-19882736.851595983
76,227973,2.140199,99000000,246233113,The Peanuts Movie,88,2015-11-05,414,6.4,2015,91079959.9248176,226534364.284879,Noah Schnapp,Adventure,Steve Martino,Blue Sky Studios,November,147233113,135454404.3600614
77,321741,2.121884,35000000,48623572,Concussion,123,2015-11-12,500,6.9,2015,32199985.8320062,44733666.5571867,Will Smith,Drama,Peter Landesman,Village Roadshow Pictures,November,13623572,12533680.7251805
78,296100,2.096273,25000000,52395996,The Night Before,100,2015-11-20,363,6.1,2015,22999989.8800044,48204295.1101101,Joseph Gordon-Levitt,Comedy,Jonathan Levine,Sony Pictures,November,27395996,25204305.230105698
79,263472,2.080935,2500000,5214043,Knock Knock,99,2015-06-26,473,4.8,2015,2299998.98800044,4796917.44935632,Keanu Reeves,Drama,Eli Roth,Universum Film (UFA),June,2714043,2496918.4613558804
80,228205,2.070708,34000000,63013281,The Longest Ride,128,2015-04-09,711,7.3,2015,31279986.236806,57972193.012235,Scott Eastwood,Romance,"George Tillman, Jr.",Fox 2000 Pictures,April,29013281,26692206.775429
81,159824,2.060162,80000000,466183544,Hotel Transylvania 2,89,2015-09-21,919,6.8,2015,73599967.6160142,428888671.768984,Adam Sandler,Animation,Genndy Tartakovsky,Columbia Pictures,September,386183544,355288704.15296984
82,333348,2.055572,17000000,24000000,Love the Coopers,107,2015-11-12,111,5.3,2015,15639993.118403,22079990.2848042,Steve Martin,Family,Jessie Nelson,Imagine Entertainment,November,7000000,6439997.166401198
83,285783,2.049886,35000000,61181942,The Walk,123,2015-09-30,706,6.8,2015,32199985.8320062,56287361.8735607,Joseph Gordon-Levitt,Adventure,Robert Zemeckis,TriStar Pictures,September,26181942,24087376.041554496
84,290764,2.026651,11000000,1863315,Tracers,94,2015-01-15,326,5.9,2015,10119995.5472019,1714249.04573042,Marie Avgeropoulos,Action,Daniel Benmayor,Temple Hill Entertainment,January,-9136685,-8405746.50147148
85,296099,2.000338,31000000,104384188,Vacation,99,2015-07-28,846,6.1,2015,28519987.4512055,96033410.7052992,Ed Helms,Adventure,John Francis Daley,New Line Cinema,July,73384188,67513423.2540937
86,243688,1.984529,35000000,95437994,Poltergeist,93,2015-05-20,589,5.0,2015,32199985.8320062,87802915.846717,Sam Rockwell,Horror,Gil Kenan,Ghost House Pictures,May,60437994,55602930.0147108
87,287424,1.980039,4000000,187112,Maggie,95,2015-05-08,384,5.1,2015,3679998.38080071,172142.964257095,Arnold Schwarzenegger,Horror,Henry Hobson,Lionsgate,May,-3812888,-3507855.416543615
89,181283,1.95632,50000000,3324330,Child 44,137,2015-03-15,341,5.9,2015,45999979.7600089,3058382.2543118,Tom Hardy,Crime,Daniel Espinosa,Summit Entertainment,March,-46675670,-42941597.5056971
90,328425,1.926739,5000000,58978653,The Gift,108,2015-07-30,631,6.6,2015,4599997.97600089,54260336.8854517,Jason Bateman,Thriller,Joel Edgerton,Blumhouse Productions,July,53978653,49660338.90945081
91,274167,1.904898,50000000,240360392,Daddy's Home,96,2015-12-25,568,5.7,2015,45999979.7600089,221131463.342156,Will Ferrell,Comedy,Sean Anders,Paramount Pictures,December,190360392,175131483.5821471
94,309809,1.865007,64000000,97571250,The Little Prince,92,2015-07-29,423,7.5,2015,58879974.0928114,89765510.5031753,Jeff Bridges,Adventure,Mark Osborne,Onyx Films,July,33571250,30885536.410363905
96,298382,1.82313,11930000,18340000,The Dressmaker,118,2015-10-01,197,6.9,2015,10975595.1707381,16872792.5759712,Kate Winslet,Drama,Jocelyn Moorhouse,Amazon Studios,October,6410000,5897197.405233102
97,272693,1.758618,8500000,43528634,The DUFF,100,2015-02-20,753,6.8,2015,7819996.55920151,40046325.6596167,Mae Whitman,Romance,Ari Sandel,Wonderland Sound and Vision,February,35028634,32226329.100415193
98,283445,1.742286,10000000,52882018,Sinister 2,97,2015-08-19,331,5.5,2015,9199995.95200178,48651435.1533685,Shannyn Sossamon,Horror,Ciaran Foy,Alliance Films,August,42882018,39451439.20136672
99,256961,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,94,2015-04-16,422,5.3,2015,27599987.8560053,98989419.0846556,Kevin James,Action,Andy Fickman,Columbia Pictures,April,77597242,71389431.2286503
102,241251,1.65107799999999,4000000,50163103,The Boy Next Door,91,2015-01-23,810,3.9,2015,3679998.38080071,46150034.4539848,Jennifer Lopez,Thriller,Rob Cohen,Universal Pictures,January,46163103,42470036.07318409
104,188222,1.532997,30000000,49263404,Entourage,104,2015-06-03,364,6.2,2015,27599987.8560053,45322311.7381828,Jeremy Piven,Comedy,Doug Ellin,Warner Bros.,June,19263404,17722323.8821775
105,252838,1.510096,23000000,79799880,The Wedding Ringer,101,2015-01-16,446,6.5,2015,21159990.689604,73415857.2970227,Kevin Hart,Comedy,Jeremy Garelick,Miramax Films,January,56799880,52255866.6074187
106,273477,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,93,2015-10-23,288,6.2,2015,13799993.9280026,13671898.7043645,Tye Sheridan,Comedy,Christopher B. Landon,Paramount Pictures,October,-139234,-128095.22363810055
107,298312,1.495112,5000000,98450062,The Visit,94,2015-09-10,729,5.9,2015,4599997.97600089,90574017.1874324,Olivia DeJonge,Horror,M. Night Shyamalan,Blumhouse Productions,September,93450062,85974019.2114315
108,261023,1.48324599999999,53000000,99775678,Black Mass,122,2015-09-04,848,6.3,2015,48759978.5456094,91793583.3708233,Johnny Depp,Crime,Scott Cooper,Infinitum Nihil,September,46775678,43033604.825213894
109,336004,1.449072,8900000,50136,Heist,93,2015-11-13,233,5.4,2015,8187996.39728158,46125.0997049561,Jeffrey Dean Morgan,Crime,Scott Mann,Emmett/Furla Films,November,-8849864,-8141871.297576624
110,287903,1.448002,15000000,61548707,Krampus,98,2015-11-26,342,5.9,2015,13799993.9280026,56624785.5250943,Adam Scott,Horror,Michael Dougherty,Universal Pictures,November,46548707,42824791.597091705
111,182560,1.443406,20000000,208588,Dark Places,113,2015-03-31,322,5.7,2015,18399991.9040035,191900.875563614,Charlize Theron,Drama,Gilles Paquet-Brenner,Denver and Delilah Productions,March,-19791412,-18208091.028439887
112,192141,1.41239,5000000,54418872,No Escape,103,2015-08-26,519,6.7,2015,4599997.97600089,50065340.2112503,Owen Wilson,Action,John Erick Dowdle,Bold Films,August,49418872,45465342.23524941
113,308639,1.40805,700000,17986781,Dope,103,2015-06-19,448,7.3,2015,643999.716640124,16547831.2389542,Shameik Moore,Crime,Rick Famuyiwa,Forest Whitaker's Significant Productions,June,17286781,15903831.522314075
114,261392,1.388251,28000000,28208085,American Ultra,96,2015-08-19,695,5.9,2015,25759988.6656049,25951426.7813722,Jesse Eisenberg,Comedy,Nima Nourizadeh,Concorde Filmverleih,August,208085,191438.11576730013
115,304357,1.388032,11000000,61619773,Woman in Gold,120,2015-04-10,277,7.3,2015,10119995.5472019,56690166.2163268,Helen Mirren,Drama,Simon Curtis,BBC Films,April,50619773,46570170.6691249
117,266294,1.376605,30000000,105011053,Sisters,118,2015-12-18,399,5.9,2015,27599987.8560053,96610126.2515444,Tina Fey,Comedy,Jason Moore,Little Stranger,December,75011053,69010138.3955391
118,227719,1.360926,12000000,32248241,Project Almanac,106,2015-01-30,637,6.3,2015,11039995.1424021,29668368.6659177,Jonny Weston,Science Fiction,Dean Israelite,Paramount Pictures,January,20248241,18628373.523515597
120,287948,1.355822,25000000,72629670,The Transporter Refueled,96,2015-09-03,407,5.3,2015,22999989.8800044,66819266.9995225,Ed Skrein,Thriller,Camille Delamarre,EuropaCorp,September,47629670,43819277.1195181
121,201085,1.345982,55000000,74679822,Crimson Peak,119,2015-10-13,819,6.4,2015,50599977.7360098,68705406.0096213,Mia Wasikowska,Mystery,Guillermo del Toro,Legendary Pictures,October,19679822,18105428.27361151
123,264999,1.338481,14800000,122413057,Magic Mike XXL,115,2015-07-01,501,6.3,2015,13615994.0089626,112619962.887216,Channing Tatum,Comedy,Gregory Jacobs,Warner Bros.,July,107613057,99003968.8782534
124,146301,1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,88,2015-10-21,267,5.0,2015,9199995.95200178,71851557.1453148,Chris J. Murray,Horror,Gregory Plotkin,Paramount Pictures,October,68099553,62651561.19331302
126,294016,1.316239,15000000,8235661,Trumbo,124,2015-10-27,273,7.2,2015,13799993.9280026,7576804.78620589,Bryan Cranston,Drama,Jay Roach,Groundswell Productions,October,-6764339,-6223189.14179671
127,290751,1.315266,19500000,32189727,Secret in Their Eyes,111,2015-10-14,202,6.2,2015,17939992.1064034,29614535.8096042,Chiwetel Ejiofor,Crime,Billy Ray,Ingenious Media,October,12689727,11674543.703200802
129,228165,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,93,2015-02-05,533,5.7,2015,68079970.0448131,286666383.306791,Tom Kenny,Family,Paul Tibbitt,Paramount Pictures,February,237594032,218586413.2619779
131,272878,1.278928,20000000,43967255,Max,111,2015-06-26,214,7.0,2015,18399991.9040035,40449856.802063,Thomas Haden Church,Adventure,Boaz Yakin,Sunswept Entertainment,June,23967255,22049864.898059502
135,266396,1.225325,40000000,10664749,The Gunman,115,2015-02-16,283,5.6,2015,36799983.8080071,9811564.7629115,Sean Penn,Action,Pierre Morel,StudioCanal,February,-29335251,-26988419.0450956
136,277685,1.191138,1000000,62882090,Unfriended,82,2015-04-17,643,5.6,2015,919999.595200178,57851497.3453411,Shelley Hennig,Horror,Levan Gabriadze,Bazelevs Production,April,61882090,56931497.75014092
137,268920,1.178831,35000000,51680201,Hot Pursuit,87,2015-05-08,472,5.5,2015,32199985.8320062,47545763.9998638,Reese Witherspoon,Action,Anne Fletcher,New Line Cinema,May,16680201,15345778.167857602
138,280092,1.164724,10000000,104303851,Insidious: Chapter 3,97,2015-06-04,610,6.3,2015,9199995.95200178,95959500.6978197,Dermot Mulroney,Drama,Leigh Whannell,Sony Pictures,June,94303851,86759504.74581791
141,328589,1.142518,6000000,41387687,The Lady in the Van,104,2015-11-13,135,5.9,2015,5519997.57120106,38076655.2862716,Maggie Smith,Comedy,Nicholas Hytner,BBC Films,November,35387687,32556657.715070542
142,228066,1.138395,40000000,34227298,Victor Frankenstein,109,2015-11-10,408,5.5,2015,36799983.8080071,31489100.3047958,James McAvoy,Drama,Paul McGuigan,Twentieth Century Fox Film Corporation,November,-5772702,-5310883.503211297
144,291270,1.125239,8000000,3759286,Anomalisa,90,2015-12-30,259,6.7,2015,7359996.76160142,3458541.59824169,Jennifer Jason Leigh,Animation,Duke Johnson,Starburns Industries,December,-4240714,-3901455.16335973
150,250124,1.03839,2000000,1477002,The Diary of a Teenage Girl,102,2015-08-07,186,6.8,2015,1839999.19040035,1358841.24210985,Bel Powley,Drama,Marielle Heller,Caviar Films,August,-522998,-481157.94829049986
155,282984,1.007054,11000000,27391084,Irrational Man,95,2015-07-17,319,6.1,2015,10119995.5472019,25199786.192094,Emma Stone,Mystery,Woody Allen,Sony Pictures,July,16391084,15079790.644892098
157,275601,0.956096,18000000,41325328,Ricki and the Flash,100,2015-07-10,152,5.5,2015,16559992.7136032,38019285.0315145,Meryl Streep,Comedy,Jonathan Demme,Columbia TriStar,July,23325328,21459292.317911305
160,304372,0.950793,12000000,60273173,The Perfect Guy,100,2015-09-11,122,5.6,2015,11039995.1424021,55451294.7614303,Michael Ealy,Drama,David M. Rosenthal,Screen Gems,September,48273173,44411299.6190282
162,252512,0.93762,10000000,7587485,While We're Young,97,2015-03-27,265,5.9,2015,9199995.95200178,6980483.12858742,Ben Stiller,Drama,Noah Baumbach,Scott Rudin Productions,March,-2412515,-2219512.82341436
163,257091,0.927339,40000000,106511453,Get Hard,100,2015-03-26,661,5.9,2015,36799983.8080071,97990493.6441828,Will Ferrell,Comedy,Etan Cohen,Gary Sanchez Productions,March,66511453,61190509.8361757
167,293646,0.906036,25000000,24902723,The 33,120,2015-08-06,262,5.8,2015,22999989.8800044,22910495.0793821,Antonio Banderas,History,Patricia Riggen,Alcon Entertainment,August,-97277,-89494.80062229931
168,245168,0.898295999999999,14000000,16002420,Suffragette,106,2015-10-16,231,7.1,2015,12879994.3328024,14722219.9222232,Carey Mulligan,Drama,Sarah Gavron,Ruby Films,October,2002420,1842225.5894207992
170,301351,0.880937999999999,6000000,11122090,We Are Your Friends,96,2015-08-26,412,6.2,2015,5519997.57120106,10232318.2977799,Zac Efron,Drama,Max Joseph,Working Title Films,August,5122090,4712320.726578839
179,268238,0.832487,10000000,85978266,The Second Best Exotic Marigold Hotel,122,2015-02-26,196,6.4,2015,9199995.95200178,79099969.9160132,Dev Patel,Drama,John Madden,Participant Media,February,75978266,69899973.96401142
180,256962,0.829111,20000000,6420319,Little Boy,106,2015-04-23,113,7.1,2015,18399991.9040035,5906690.88105601,Jakob Salvati,Comedy,Alejandro Monteverde,Metanoia Films,April,-13579681,-12493301.02294749
183,222936,0.814206,37000000,26250020,Aloha,105,2015-05-27,469,5.2,2015,34039985.0224065,24150007.7739965,Bradley Cooper,Adventure,Cameron Crowe,Columbia Pictures,May,-10749980,-9889977.248410005
